Controller,Tr_Exp,Tr_Sim,OS_Exp,OS_Sim,Ess_Exp,Ess_Sim
P Controller,0.02639999999999998,0.07020000000000001,23.050000000000015,-8.00507013472016,7.651850560000001,0.5219314263603011
Lead-Lag,0.010200000000000098,0.0206,0.8000000000000007,-4.6387636226983275,7.550477860000002,0.046617321401960427
Lead-Lag-Integrator,0.008199999999999985,0.014199999999999999,34.349999999999994,-1.5921586116402264,7.4950655,0.03335805193049226
