Name,Lab 2 Scope,
File,C:\Users\MECH467_TA\Desktop\2025w1_Mech467_Lab2\Lab2_S2\Gyan\step_ll.csv,
Starttime of export,134076222752598000,Friday, November 14, 2025,11:31:15.259
Endtime of export,134076222852598000,Friday, November 14, 2025,11:31:25.259


TriggerGroup,Count,ReleaseTime,Comment,
Start traj,0,0,,
Timed Stop,0,10000,,

Name,RefTraj [mm],Enc1_ActPos [mm],Enc2_ActPos [mm],Enc1_ActVelo [mm/s],Enc2_ActVelo [mm/s],Vout [V]
22.2,0,0,0,0,0,-3.5332888724411305E-173
22.4,0,0,0,0,0,-2.6387853604307173E-173
22.6,0,0,0,0,0,-1.9707384337393962E-173
22.8,0,0,0,0,0,-1.471817311273726E-173
23,0,0,0,0,0,-1.0992053337360736E-173
23.2,0,0,0,0,0,-8.2092550241048529E-174
23.4,0,0,0,0,0,-6.1309626129390667E-174
23.6,0,0,0,0,0,-4.578820179283606E-174
23.8,0,0,0,0,0,-3.41962519718649E-174
24,0,0,0,0,0,-2.5538972991645934E-174
24.2,0,0,0,0,0,-1.9073410208950758E-174
24.4,0,0,0,0,0,-1.4244698763646765E-174
24.6,0,0,0,0,0,-1.0638445912090621E-174
24.8,0,0,0,0,0,-7.9451684659917286E-175
25,0,0,0,0,0,-5.9337334113102776E-175
25.2,0,0,0,0,0,-4.4315224211051434E-175
25.4,0,0,0,0,0,-3.3096180106987774E-175
25.6,0,0,0,0,0,-2.4717400333066816E-175
25.8,0,0,0,0,0,-1.8459830628492936E-175
26,0,0,0,0,0,-1.3786455785836493E-175
26.2,0,0,0,0,0,-1.0296213814738645E-175
26.4,0,0,0,0,0,-7.68957740594405E-176
26.6,0,0,0,0,0,-5.7428489487430238E-176
26.8,0,0,0,0,0,-4.2889631389346626E-176
27,0,0,0,0,0,-3.2031496860398106E-176
27.2,0,0,0,0,0,-2.3922257148904913E-176
27.4,0,0,0,0,0,-1.7865989516270753E-176
27.6,0,0,0,0,0,-1.3342954195695877E-176
27.8,0,0,0,0,0,-9.9649911081779321E-177
28,0,0,0,0,0,-7.4422085491455429E-177
28.2,0,0,0,0,0,-5.5581051189821138E-177
28.4,0,0,0,0,0,-4.150989898986641E-177
28.6,0,0,0,0,0,-3.1001063802558451E-177
28.8,0,0,0,0,0,-2.3152693219632256E-177
29,0,0,0,0,0,-1.7291251898206364E-177
29.2,0,0,0,0,0,-1.2913719772078168E-177
29.4,0,0,0,0,0,-9.64442362724825E-178
29.6,0,0,0,0,0,-7.2027973925018571E-178
29.8,0,0,0,0,0,-5.3793043817418923E-178
