Time,X_Traj,Y_Traj,X_ActPos,Y_ActPos,X_ActVelo,Y_ActVelo,XY Position X,XY Position Y
7.1,0.0196,0.0147,0.0002,0.0001,0.023108144,0.007345771,0.0002,0.0001
7.2,0.020164,0.015123,0.0002,0.0001,0.02287935,0.007273041,0.0002,0.0001
7.3,0.020736,0.015552,0.0002,0.0001,0.022652822,0.007201031,0.0002,0.0001
7.4,0.021316,0.015987,0.0002,0.0001,0.022428537,0.007129733,0.0002,0.0001
7.5,0.021904,0.016428,0.0002,0.0001,0.022206472,0.007059142,0.0002,0.0001
7.6,0.0225,0.016875,0.0002,0.0001,0.021986606,0.006989249,0.0002,0.0001
7.7,0.023104,0.017328,0.0002,0.0001,0.021768917,0.006920049,0.0002,0.0001
7.8,0.023716,0.017787,0.0002,0.0001,0.021553383,0.006851534,0.0002,0.0001
7.9,0.024336,0.018252,0.0002,0.0001,0.021339983,0.006783697,0.0002,0.0001
8,0.024964,0.018723,0.0002,0.0002,0.021128696,0.016617521,0.0002,0.0002
8.1,0.0256,0.0192,0.0002,0.0002,0.020919501,0.016452992,0.0002,0.0002
8.2,0.026244,0.019683,0.0002,0.0002,0.020712377,0.016290091,0.0002,0.0002
8.3,0.026896,0.020172,0.0002,0.0002,0.020507304,0.016128803,0.0002,0.0002
8.4,0.027556,0.020667,0.0002,0.0002,0.020304262,0.015969112,0.0002,0.0002
8.5,0.028224,0.021168,0.0002,0.0002,0.020103229,0.015811002,0.0002,0.0002
8.6,0.0289,0.021675,0.0002,0.0002,0.019904188,0.015654457,0.0002,0.0002
8.7,0.029584,0.022188,0.0002,0.0002,0.019707116,0.015499462,0.0002,0.0002
8.8,0.030276,0.022707,0.0002,0.0002,0.019511996,0.015346002,0.0002,0.0002
8.9,0.030976,0.023232,0.0003,0.0002,0.029219798,0.015194062,0.0003,0.0002
9,0.031684,0.023763,0.0003,0.0002,0.028930494,0.015043625,0.0003,0.0002
9.1,0.0324,0.0243,0.0003,0.0002,0.028644053,0.014894679,0.0003,0.0002
9.2,0.033124,0.024843,0.0003,0.0002,0.028360449,0.014747207,0.0003,0.0002
9.3,0.033856,0.025392,0.0003,0.0002,0.028079652,0.014601195,0.0003,0.0002
9.4,0.034596,0.025947,0.0003,0.0002,0.027801636,0.014456628,0.0003,0.0002
9.5,0.035344,0.026508,0.0003,0.0002,0.027526372,0.014313493,0.0003,0.0002
9.6,0.0361,0.027075,0.0003,0.0002,0.027253834,0.014171776,0.0003,0.0002
9.7,0.036864,0.027648,0.0003,0.0002,0.026983994,0.014031461,0.0003,0.0002
9.8,0.037636,0.028227,0.0004,0.0002,0.036617815,0.013892536,0.0004,0.0002
9.9,0.038416,0.028812,0.0004,0.0002,0.036255263,0.013754986,0.0004,0.0002
10,0.039204,0.029403,0.0004,0.0003,0.0358963,0.023519788,0.0004,0.0003
10.1,0.04,0.03,0.0004,0.0003,0.035540891,0.023286919,0.0004,0.0003
10.2,0.040804,0.030603,0.0004,0.0002,0.035189001,0.013155365,0.0004,0.0002
10.3,0.041616,0.031212,0.0004,0.0002,0.034840595,0.013025114,0.0004,0.0002
10.4,0.042436,0.031827,0.0004,0.0002,0.034495639,0.012896152,0.0004,0.0002
10.5,0.043264,0.032448,0.0005,0.0002,0.044055088,0.012768468,0.0005,0.0002
10.6,0.0441,0.033075,0.0005,0.0003,0.043618899,0.022543037,0.0005,0.0003
10.7,0.044944,0.033708,0.0005,0.0003,0.043187028,0.022319839,0.0005,0.0003
10.8,0.045796,0.034347,0.0005,0.0003,0.042759434,0.02209885,0.0005,0.0003
10.9,0.046656,0.034992,0.0005,0.0003,0.042336073,0.02188005,0.0005,0.0003
11,0.047524,0.035643,0.0005,0.0003,0.041916904,0.021663416,0.0005,0.0003
11.1,0.0484,0.0363,0.0005,0.0003,0.041501885,0.021448927,0.0005,0.0003
11.2,0.049284,0.036963,0.0005,0.0003,0.041090976,0.021236561,0.0005,0.0003
11.3,0.050176,0.037632,0.0005,0.0003,0.040684134,0.021026298,0.0005,0.0003
11.4,0.051076,0.038307,0.0005,0.0003,0.040281321,0.020818117,0.0005,0.0003
11.5,0.051984,0.038988,0.0006,0.0003,0.049783486,0.020611997,0.0006,0.0003
11.6,0.0529,0.039675,0.0006,0.0003,0.049290581,0.020407918,0.0006,0.0003
